Model,Type,Stage,Unit,VOC,NOx,PM10,PM2.5,SOx,GHG
Kia Soul CV,Variable,WTP,g/mi,0.127,0.146,0.014,0.01,0.07,80.2
Kia Soul CV,Variable,Operation,g/mi,0.219,0.111,0.023,0.009,0.002,330.535
Kia Soul EV,Fixed,Battery.Cu.Mine,g,1.243495029,8.37445133,2.213125882,1.087508656,7.320278121,7032.860716
Kia Soul EV,Fixed,Battery.Ni.Mine,g,5.856970112,130.2166743,22.23951738,11.23094076,54.02994691,32702.98842
Kia Soul EV,Fixed,Battery.Co.Mine,g,12.30662675,127.7057082,673.7485734,75.62643908,563.4597904,41907.66409
Kia Soul EV,Fixed,Battery.Mn.Mine,g,0.011217588,0.072464879,0.291931474,0.145448943,0.120807601,85.41002083
Kia Soul EV,Fixed,Battery.Cu.Prod,g,7.62844802,134.3797397,8.696639034,5.414388395,1186.777297,64164.83546
Kia Soul EV,Fixed,Battery.Ni.Prod,g,8.198924951,275.5721486,129.1785412,64.74633227,12576.75333,61626.11716
Kia Soul EV,Fixed,Battery.Co.Prod,g,29.30769221,178.1742547,19.25793578,11.86699459,772.5422722,157417.081
Kia Soul EV,Fixed,Battery.Li.Prod,g,28.38055648,271.073252,35.2272546,27.31958988,124.8785718,78525.2063
Kia Soul EV,Fixed,Battery.Graphite.Prod,g,41.4057159,446.8723681,183.7221105,89.81393081,2654.266539,161287.1059
Kia Soul EV,Fixed,Battery.Remainder,g,333.4040702,1311.809773,362.2992764,191.103305,3648.991442,1556346.797
Kia Soul EV,Fixed,Battery.Total,g,467.7437172,2884.250835,1436.874906,478.3548784,21589.14028,2161096.066
Kia Soul HEV,Fixed,Battery.Cu.Mine,g,0.212537681,1.431357927,0.378266605,0.185876552,1.251179056,1202.053787
Kia Soul HEV,Fixed,Battery.Ni.Mine,g,0.327009317,7.270323217,1.241687982,0.627051565,3.016627321,1825.889789
Kia Soul HEV,Fixed,Battery.Co.Mine,g,0.687109808,7.130129686,37.61707109,4.222413594,31.45937198,2339.809896
Kia Soul HEV,Fixed,Battery.Mn.Mine,g,0.011217588,0.072464879,0.291931474,0.145448943,0.120807601,85.41002083
Kia Soul HEV,Fixed,Battery.Cu.Prod,g,1.303851334,22.96813224,1.486426122,0.925425134,202.8435087,10967.02843
Kia Soul HEV,Fixed,Battery.Ni.Prod,g,0.457766524,15.38588357,7.21236164,3.614949968,702.1916526,3440.74054
Kia Soul HEV,Fixed,Battery.Co.Prod,g,1.636321894,9.947915099,1.07521881,0.662564043,43.13297084,8788.990076
Kia Soul HEV,Fixed,Battery.Li.Prod,g,1.584557582,15.1346989,1.966825895,1.525321159,6.972283575,4384.259031
Kia Soul HEV,Fixed,Battery.Graphite.Prod,g,2.329789401,25.14431847,10.33755404,5.05359078,149.3485118,9075.196063
Kia Soul HEV,Fixed,Battery.Remainder,g,34.00654441,118.3503142,28.4641733,15.01885055,289.5507273,141576.5778
Kia Soul HEV,Fixed,Battery.Total,g,42.55670554,222.8355382,90.07151696,31.98149229,1429.887641,183685.9554
Kia Soul EV,Fixed,Car.Cu.Mine,g,3.615937939,24.35192388,6.435510925,3.162347833,21.28651163,20450.73547
Kia Soul EV,Fixed,Car.Cu.Prod,g,22.18263361,390.7605483,25.288808,15.74440747,3451.009417,186583.8283
Kia Soul EV,Fixed,Total,g,6800.05,7906.56,3428.13,1410.04,39698.22,7062800
Kia Soul EV,Fixed,Car.Remainder,g,6306.51,4607.2,1959.53,912.78,14636.78,4694669.37
Kia Soul HEV,Fixed,Car.Cu.Mine,g,2.909728222,19.5958784,5.178625318,2.544726401,17.1291556,16456.61047
Kia Soul HEV,Fixed,Car.Cu.Prod,g,17.85026074,314.443172,20.34978464,12.6694505,2777.011017,150143.1275
Kia Soul HEV,Fixed,Total,g,7016.659,5798.524,2465.351,1145.221,21400.848,5642653.345
Kia Soul HEV,Fixed,Car.Remainder,g,6953.342305,5241.649411,2349.751073,1098.025331,17176.82019,5292367.652
Kia Soul CV,Fixed,Car.Cu.Mine,g,1.296247511,8.729718609,2.307012774,1.133643767,7.63082447,7331.214028
Kia Soul CV,Fixed,Car.Cu.Prod,g,7.952067785,140.0804982,9.065574402,5.644081656,1237.123657,66886.88441
Kia Soul CV,Fixed,Total,g,6834.072,5285.143,2250.069,1049.571,17645.089,5188689.087
Kia Soul CV,Fixed,Car.Remainder,g,6824.823685,5136.332783,2238.696413,1042.793275,16400.33452,5114470.989
