,county,auto.cbp,auto.cbp.pct,NiCu.Mine.cbp,NiCu.Mine.cbp.pct,CoMn.Mine.cbp,CoMn.Mine.cbp.pct,NiCuCo.Prod.cbp,NiCuCo.Prod.cbp.pct,Li.Prod.cbp,Li.Prod.cbp.pct,Graphite.Prod.cbp,Graphite.Prod.cbp.pct
1,1001,66.89646002,5.62E-05,0,0,0,0,0,0,0,0,0,0
2,1003,53.78965357,4.52E-05,0,0,0,0,0,0,0,0,0,0
3,1005,0,0,0,0,0,0,0,0,0,0,0,0
4,1007,0,0,0,0,0,0,0,0,0,0,10.93890628,0.002391418
5,1009,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
6,1011,0,0,0,0,0,0,0,0,0,0,0,0
7,1013,250.7519818,0.000210607,0,0,0,0,0,0,0,0,0,0
8,1015,1254.791579,0.0010539,0,0,0,0,0,0,0,0,0,0
9,1017,864.9425397,0.000726465,0,0,0,0,0,0,0,0,0,0
10,1019,229.7790471,0.000192991,0,0,0,0,0,0,0,0,0,0
11,1021,494.4093221,0.000415254,0,0,0,0,0,0,0,0,0,0
12,1023,0,0,0,0,0,0,0,0,0,0,0,0
13,1025,0,0,0,0,0,0,0,0,0,0,0,0
14,1027,0,0,0,0,0,0,0,0,0,0,0,0
15,1029,0,0,0,0,0,0,0,0,0,0,0,0
16,1031,98.80830103,8.30E-05,0,0,0,0,0,0,0,0,0,0
17,1033,1960.013226,0.001646215,0,0,0,0,0,0,0,0,0,0
18,1035,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
19,1037,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
20,1039,133.79292,0.000112373,0,0,0,0,0,0,0,0,0,0
21,1041,724.1883692,0.000608246,0,0,0,0,0,0,0,0,0,0
22,1043,822.9966702,0.000691235,0,0,0,0,0,0,0,0,0,0
23,1045,0,0,0,0,0,0,0,0,0,0,0,0
24,1047,318.5533197,0.000267553,0,0,0,0,0,0,0,0,0,0
25,1049,791.0848292,0.000664432,0,0,0,0,0,0,0,0,0,0
26,1051,700.2760476,0.000588162,0,0,0,0,0,0,0,0,0,0
27,1053,66.89646002,5.62E-05,0,0,0,0,0,0,0,0,0,0
28,1055,1969.558128,0.001654232,0,0,0,0,0,0,0,0,0,0
29,1057,87.86939475,7.38E-05,0,0,0,0,0,0,0,0,0,0
30,1059,83.89173896,7.05E-05,0,0,0,0,0,0,0,0,0,0
31,1061,0,0,0,0,0,0,0,0,0,0,0,0
32,1063,0,0,0,0,0,0,0,0,0,0,0,0
33,1065,0,0,0,0,0,0,0,0,0,0,0,0
34,1067,0,0,0,0,0,0,0,0,0,0,0,0
35,1069,639.1411484,0.000536815,0,0,0,0,0,0,0,0,0,0
36,1071,74.76258831,6.28E-05,0,0,0,0,0,0,0,0,0,0
37,1073,4758.555508,0.003996711,0,0,0,0,0,0,0,0,10.93890628,0.002391418
38,1075,0,0,0,0,0,0,0,0,0,0,0,0
39,1077,262.5957659,0.000220554,0,0,0,0,0,0,0,0,0,0
40,1079,0,0,0,0,0,0,0,0,0,0,0,0
41,1081,3137.073145,0.002634828,0,0,0,0,0,0,0,0,0,0
42,1083,363.5719671,0.000305364,0,0,0,0,0,0,0,0,0,0
43,1085,229.7790471,0.000192991,0,0,0,0,0,0,0,0,0,0
44,1087,494.4093221,0.000415254,0,0,0,0,0,0,0,0,0,0
45,1089,1724.198912,0.001448155,0,0,0,0,0,0,0,0,0,0
46,1091,0,0,0,0,0,0,0,0,0,0,0,0
47,1093,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
48,1095,794.811881,0.000667563,0,0,0,0,0,0,0,0,0,0
49,1097,759.0954357,0.000637564,0,0,0,0,0,0,0,0,10.93890628,0.002391418
50,1099,0,0,0,0,0,0,0,0,0,0,0,0
51,1101,5546.733151,0.004658702,0,0,0,0,0,0,0,0,0,0
52,1103,515.3822568,0.00043287,0,0,0,0,0,0,0,0,0,0
53,1105,0,0,0,0,0,0,0,0,0,0,0,0
54,1107,0,0,0,0,0,0,0,0,0,0,0,0
55,1109,98.80830103,8.30E-05,0,0,0,0,0,0,0,0,0,0
56,1111,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
57,1113,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,10.93890628,0.002391418
58,1115,1076.688039,0.00090431,0,0,0,0,0,0,0,0,0,0
59,1117,314.5756639,0.000264212,0,0,0,0,0,0,0,0,0,0
60,1119,0,0,0,0,0,0,0,0,0,0,20.97293474,0.004585016
61,1121,3902.683742,0.003277865,0,0,0,0,0,0,0,0,0,0
62,1123,1229.536598,0.001032688,0,0,0,0,0,0,0,0,0,0
63,1125,9902.908059,0.008317454,0,0,0,0,0,0,0,0,0,0
64,1127,66.89646002,5.62E-05,0,0,0,0,0,0,0,0,0,0
65,1129,1553.101385,0.00130445,0,0,0,0,0,0,0,0,0,0
